,Date,avg_gpm,Min,Max,avg_clean,gpd,ac-ft,cum_ac_ft
90,4/2/18,0,0,0,,0,0,0.434278243737168
91,4/3/18,0.166666666666667,0,18,,0,0,0.434278243737168
92,4/4/18,0.0833333333333333,0,12,,0,0,0.434278243737168
93,4/5/18,0.0208333333333333,0,3,,0,0,0.434278243737168
94,4/6/18,0.0833333333333333,0,6,,0,0,0.434278243737168
95,4/7/18,0,0,0,,0,0,0.434278243737168
96,4/8/18,0.125,0,12,,0,0,0.434278243737168
97,4/9/18,0,0,0,,0,0,0.434278243737168
98,4/10/18,0,0,0,,0,0,0.434278243737168
99,4/11/18,0,0,0,,0,0,0.434278243737168
100,4/12/18,0.173611111111111,0,25,,0,0,0.434278243737168
101,4/13/18,0.444444444444444,0,28,,0,0,0.434278243737168
102,4/14/18,0.256944444444444,0,22,,0,0,0.434278243737168
103,4/15/18,0.125,0,6,,0,0,0.434278243737168
104,4/16/18,0,0,0,,0,0,0.434278243737168
105,4/17/18,0.319444444444444,0,18,,0,0,0.434278243737168
106,4/18/18,0,0,0,,0,0,0.434278243737168
107,4/19/18,0.0208333333333333,0,3,,0,0,0.434278243737168
108,4/20/18,0.375,0,15,,0,0,0.434278243737168
109,4/21/18,0.5,0,57,,0,0,0.434278243737168
110,4/22/18,0.125,0,15,,0,0,0.434278243737168
111,4/23/18,0,0,0,,0,0,0.434278243737168
112,4/24/18,0.0833333333333333,0,12,,0,0,0.434278243737168
113,4/25/18,0.208333333333333,0,24,,0,0,0.434278243737168
114,4/26/18,0.0625,0,9,,0,0,0.434278243737168
115,4/27/18,0.0486111111111111,0,7,,0,0,0.434278243737168
116,4/28/18,0,0,0,,0,0,0.434278243737168
117,4/29/18,0.145833333333333,0,15,,0,0,0.434278243737168
118,4/30/18,0,0,0,,0,0,0.434278243737168
119,5/1/18,0.256944444444444,0,19,,0,0,0.434278243737168
120,5/2/18,0,0,0,,0,0,0.434278243737168
121,5/3/18,0,0,0,,0,0,0.434278243737168
122,5/4/18,0,0,0,,0,0,0.434278243737168
123,5/5/18,0,0,0,,0,0,0.434278243737168
124,5/6/18,0,0,0,0,0,0,0.434278243737168
125,5/7/18,97.2222222222222,0,395,97.2222222222222,140000,0.429644223893743,0.863922467630911
126,5/8/18,348.472222222222,131,412,348.472222222222,501800,1.53996765392772,2.40389012155863
127,5/9/18,310.833333333333,226,410,310.833333333333,447600,1.37363396153457,3.77752408309319
128,5/10/18,403.826388888889,396,452,403.826388888889,581510,1.78458866168893,5.56211274478212
129,5/11/18,402.236111111111,394,423,402.236111111111,579220,1.77756090974096,7.33967365452308
130,5/12/18,400.368055555556,390,406,400.368055555556,576530,1.76930560286757,9.10897925739065
131,5/13/18,397.493055555556,391,403,397.493055555556,572390,1.75660040938957,10.8655796667802
132,5/14/18,154.194444444444,0,406,154.194444444444,222040,0.681415739095476,11.5469954058757
133,5/15/18,0,0,0,0,0,0,11.5469954058757
134,5/16/18,0.0833333333333333,0,12,,0,0,11.5469954058757
135,5/17/18,0.152777777777778,0,22,,0,0,11.5469954058757
136,5/18/18,0,0,0,,0,0,11.5469954058757
137,5/19/18,0,0,0,,0,0,11.5469954058757
138,5/20/18,0,0,0,,0,0,11.5469954058757
139,5/21/18,0.111111111111111,0,10,,0,0,11.5469954058757
140,5/22/18,0.0416666666666667,0,6,,0,0,11.5469954058757
141,5/23/18,0,0,0,,0,0,11.5469954058757
142,5/24/18,0,0,0,,0,0,11.5469954058757
143,5/25/18,0,0,0,,0,0,11.5469954058757
144,5/26/18,0.125,0,9,,0,0,11.5469954058757
145,5/27/18,0.0833333333333333,0,6,,0,0,11.5469954058757
146,5/28/18,0.0416666666666667,0,6,,0,0,11.5469954058757
