All measured points in VidSync project Porter_BACI_JTPool_30June2018_Part1
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 3 (Omykiss),Drift_Forage 14,0:00:10:36.175/60000,636.002930,-22.168308,52.167057,7.078283,0.156366,0.536310,107.034683,"RC: screen={638.336853027344000,551.269104003906000} undistorted={635.503234863281000,551.359252929688000} calibrationFrameFront={8.109951669061160,6.317192626858210} calibrationFrameBack={-3.535733314579090,6.366700942920250}""LC: screen={751.918884277344000,591.551574707031000} undistorted={750.742980957031000,591.935607910156000} calibrationFrameFront={-7.759056641594270,6.728688278600290} calibrationFrameBack={-13.328869746559600,6.527709634355010}"
Subsample_1 1 (Omykiss),Length 7,0:00:08:43.28377/60000,523.472961,-37.826015,18.960217,0.293940,0.087051,3.529348,82.949646,"RC: screen={265.828369140625000,483.545562744141000} undistorted={243.766067504883000,481.938995361328000} calibrationFrameFront={-17.194326093206400,1.992398634851870} calibrationFrameBack={-39.451937203283600,-0.125689711387612}""LC: screen={440.629638671875000,487.278198242188000} undistorted={428.227142333984000,486.554168701172000} calibrationFrameFront={-25.868782244411600,1.745874986020370} calibrationFrameBack={-38.827109890743400,-0.759764300175438}"
Subsample_2 4 (Omykiss),Drift_Forage 26,0:00:10:45.175/60000,645.002930,14.378805,58.820023,5.312243,0.180335,1.445129,110.121773,"LC: screen={1076.789062500000000,591.660888671875000} undistorted={1076.922241210940000,591.765014648438000} calibrationFrameFront={10.067446277979500,5.935990522582960} calibrationFrameBack={11.622918323107700,5.669609110742090}""RC: screen={956.404846191406000,532.881164550781000} undistorted={956.408752441406000,532.879638671875000} calibrationFrameFront={26.655109595090800,5.416962036656370} calibrationFrameBack={22.535856220178800,5.338844187365040}"
Subsample_2 4 (Omykiss),Drift_Forage 25,0:00:10:42.175/60000,642.002930,22.407972,73.259193,5.392679,0.251587,2.116739,124.026672,"RC: screen={1038.726318359380000,536.756225585938000} undistorted={1038.915527343750000,536.743774414062000} calibrationFrameFront={31.133125677385200,5.658280697276610} calibrationFrameBack={28.810119701512700,5.738850278496790}""LC: screen={1128.960449218750000,591.946899414062000} undistorted={1129.333496093750000,592.137084960938000} calibrationFrameFront={12.925404241456500,5.830599693997910} calibrationFrameBack={15.604236040659700,5.563020172138410}"
Subsample_2 4 (Omykiss),Drift_Forage 21,0:00:10:30.175/60000,630.002930,26.498913,68.670624,0.624394,0.195981,0.756089,119.144424,"RC: screen={1066.017578125000000,497.406127929688000} undistorted={1066.414550781250000,497.273406982422000} calibrationFrameFront={32.623518983058700,3.575021468024090} calibrationFrameBack={30.923759132574700,2.815117600039580}""LC: screen={1166.610839843750000,557.332763671875000} undistorted={1167.215454101560000,557.466125488281000} calibrationFrameFront={14.923166232963100,3.857416896598450} calibrationFrameBack={18.404925707563500,2.833456944242390}"
Subsample_2 4 (Omykiss),Drift_Forage 23,0:00:10:36.175/60000,636.002930,22.358398,72.591354,4.544408,0.245412,1.265893,123.374130,"LC: screen={1129.405029296880000,588.876281738281000} undistorted={1129.775024414060000,589.056762695312000} calibrationFrameFront={12.943302216599700,5.662512889252900} calibrationFrameBack={15.630973735763200,5.328226225600670}""RC: screen={1037.580810546880000,526.912414550781000} undistorted={1037.767944335940000,526.883361816406000} calibrationFrameFront={31.076926781791500,5.132494019033080} calibrationFrameBack={28.737395943927300,4.995778871376050}"
Subsample_2 4 (Omykiss),Drift_Forage 22,0:00:10:33.175/60000,633.002930,23.916536,64.322365,4.301711,0.191981,0.818545,114.982651,"LC: screen={1150.687500000000000,586.387390136719000} undistorted={1151.204833984380000,586.600585937500000} calibrationFrameFront={14.106343957702500,5.478010391331100} calibrationFrameBack={17.251224242592500,5.086971950978640}""RC: screen={1042.145019531250000,524.721740722656000} undistorted={1042.356689453120000,524.686157226562000} calibrationFrameFront={31.324157370653200,5.017679659355400} calibrationFrameBack={29.085120709027000,4.836910419335360}"
Subsample_2 3 (Omykiss),Drift_Forage 17,0:00:10:48.175/60000,648.002930,-20.222845,49.642967,5.008584,0.134186,0.788180,104.096497,"LC: screen={764.253234863281000,573.360839843750000} undistorted={763.289367675781000,573.613708496094000} calibrationFrameFront={-7.126073214499630,5.702582986314230} calibrationFrameBack={-12.428995800269400,5.095217773938890}""RC: screen={642.043151855469000,533.157958984375000} undistorted={639.305541992188000,533.071594238281000} calibrationFrameFront={8.350360040869350,5.282845450932110} calibrationFrameBack={-3.205538535551620,4.905420919629010}"
Subsample_2 4 (Omykiss),Drift_Forage 28,0:00:10:51.175/60000,651.002930,17.108816,63.505009,3.752774,0.198743,1.729025,115.042648,"RC: screen={986.157836914062000,523.173339843750000} undistorted={986.189697265625000,523.161987304688000} calibrationFrameFront={28.290251031024100,4.908142088263150} calibrationFrameBack={24.833391552384900,4.641657439096970}""LC: screen={1096.744628906250000,576.935913085938000} undistorted={1096.928710937500000,577.031921386719000} calibrationFrameFront={11.127591229683100,5.088576453871800} calibrationFrameBack={13.109129496668400,4.499236534300790}"
Subsample_2 4 (Omykiss),Drift_Forage 24,0:00:10:39.175/60000,639.002930,23.603319,65.679138,5.207420,0.202965,0.213572,116.359390,"LC: screen={1146.297851562500000,592.634216308594000} undistorted={1146.793945312500000,592.862792968750000} calibrationFrameFront={13.878221330930600,5.828125217533100} calibrationFrameBack={16.930069430634200,5.573179068377950}""RC: screen={1040.998046875000000,533.217102050781000} undistorted={1041.199829101560000,533.197875976562000} calibrationFrameFront={31.257529323430500,5.470363887968570} calibrationFrameBack={28.986534313524400,5.475244820408030}"
